subscription_id,account_id,start_date,end_date,plan_tier_x,seats_x,mrr_amount,arr_amount,is_trial_x,upgrade_flag,downgrade_flag,churn_flag_x,billing_frequency,auto_renew_flag,still_active,account_name,industry,country,signup_date,referral_source,plan_tier_y,seats_y,is_trial_y,churn_flag_y,total_usage_count,avg_usage_duration_secs,total_error_count,unique_features_used,churn_event_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text,total_tickets,avg_resolution_time_hours
S-bb1cf1,A-3a5ad8,2024-09-07,2099-01-01,Enterprise,9,0,0,True,True,False,False,monthly,False,True,Company_94,HealthTech,US,2023-12-05,organic,Enterprise,9,True,False,40.0,1760.6,3.0,4.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,4.0,44.75
S-a805a5,A-2789e3,2024-09-18,2099-01-01,Basic,33,627,7524,False,False,False,False,monthly,True,True,Company_268,FinTech,US,2024-09-14,partner,Enterprise,11,False,False,53.0,3007.8,4.0,5.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,4.0,47.25
S-da0a69,A-49b828,2023-05-11,2099-01-01,Pro,6,294,3528,False,False,False,False,monthly,True,True,Company_391,FinTech,IN,2023-05-05,ads,Pro,6,False,False,93.0,2659.625,6.0,8.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,3.0,13.666666666666666
S-59c5d7,A-c16b88,2024-10-19,2099-01-01,Basic,35,665,7980,False,True,False,False,monthly,True,True,Company_431,HealthTech,US,2023-12-02,event,Enterprise,23,False,False,70.0,2485.8571428571427,2.0,7.0,C-27e9c1,2024-06-01,competitor,0.0,True,False,False,switched to competitor,3.0,48.333333333333336
S-d3faae,A-5c9849,2024-11-12,2099-01-01,Basic,19,361,4332,False,False,False,False,monthly,True,True,Company_362,EdTech,IN,2024-11-03,partner,Basic,19,False,False,48.0,2997.25,2.0,5.0,C-49de12,2024-11-13,unknown,0.0,False,True,False,too expensive,4.0,59.5
S-73a4e4,A-993085,2024-09-09,2099-01-01,Pro,31,1519,18228,False,False,False,False,monthly,True,True,Company_258,HealthTech,US,2023-06-01,ads,Basic,31,True,False,58.0,4184.833333333333,4.0,6.0,C-c1bc7e,2023-09-20,features,0.0,False,False,False,NaN,4.0,46.5
S-35c8a3,A-e4144b,2024-12-22,2099-01-01,Enterprise,41,8159,97908,False,False,False,False,annual,True,True,Company_316,EdTech,UK,2024-10-22,other,Pro,41,False,False,33.0,1966.5,1.0,4.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,3.0,57.0
S-99fbf7,A-7dacce,2024-09-10,2099-01-01,Enterprise,12,2388,28656,False,False,False,False,annual,True,True,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,True,65.0,2694.4285714285716,2.0,6.0,C-aa3075,2024-12-27,budget,0.0,False,False,False,missing features,4.0,32.5
S-e97b9f,A-a0ca4e,2024-03-16,2099-01-01,Enterprise,12,2388,28656,False,False,False,False,annual,True,True,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,False,30.0,2947.0,4.0,4.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,6.0,39.166666666666664
S-763d33,A-ef84cf,2024-07-25,2099-01-01,Basic,23,437,5244,False,False,True,False,annual,False,True,Company_274,EdTech,US,2024-03-01,partner,Enterprise,8,False,False,68.0,5034.0,3.0,6.0,C-4b854f,2024-09-28,pricing,0.0,True,False,True,too expensive,5.0,34.8
S-323782,A-7920cc,2024-02-22,2099-01-01,Basic,39,741,8892,False,False,False,False,monthly,True,True,Company_412,Cybersecurity,FR,2023-11-23,ads,Pro,39,False,False,29.0,3014.0,0.0,2.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,7.0,32.857142857142854
S-1cff18,A-2789e3,2024-10-03,2099-01-01,Basic,11,209,2508,False,False,False,False,monthly,True,True,Company_268,FinTech,US,2024-09-14,partner,Enterprise,11,False,False,46.0,2561.4,9.0,4.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,4.0,47.25
S-ad39ef,A-e40f45,2024-08-25,2099-01-01,Pro,21,0,0,True,True,False,False,annual,True,True,Company_317,HealthTech,US,2024-04-18,organic,Pro,21,False,False,39.0,3338.25,3.0,4.0,C-3db212,2024-11-09,budget,101.23,False,False,False,missing features,7.0,26.714285714285715
S-bf806d,A-7c5768,2024-09-21,2099-01-01,Basic,62,1178,14136,False,False,False,False,annual,True,True,Company_407,HealthTech,UK,2024-03-02,event,Enterprise,3,False,False,38.0,2983.6,4.0,5.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,5.0,28.8
S-36f6ec,A-ccb686,2024-08-16,2099-01-01,Pro,21,1029,12348,False,True,False,False,monthly,True,True,Company_491,DevTools,US,2024-01-22,other,Basic,10,False,False,34.0,3981.6666666666665,0.0,3.0,C-615769,2024-11-08,unknown,0.0,False,False,False,switched to competitor,1.0,67.0
S-aff55c,A-bb2f49,2024-01-14,2024-12-29,Pro,8,0,0,True,False,False,True,monthly,True,False,Company_356,Cybersecurity,US,2023-05-28,other,Pro,8,False,False,64.0,3137.1666666666665,2.0,5.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,3.0,22.333333333333332
S-b9fc6c,A-2ebb4b,2023-06-16,2099-01-01,Basic,41,779,9348,False,False,False,False,annual,True,True,Company_334,HealthTech,US,2023-05-15,ads,Basic,41,False,False,44.0,2262.4,6.0,5.0,C-06b32c,2023-08-19,pricing,0.0,False,False,False,missing features,2.0,43.5
S-7f8cd8,A-53f4e3,2024-09-18,2024-11-17,Enterprise,20,3980,47760,False,False,False,True,monthly,True,False,Company_194,Cybersecurity,UK,2024-06-14,event,Enterprise,13,False,False,75.0,3109.25,7.0,8.0,C-48c0c8,2024-12-06,competitor,0.0,False,True,True,too expensive,5.0,28.6
S-e912e6,A-a8d89d,2023-12-12,2099-01-01,Enterprise,78,15522,186264,False,False,False,False,monthly,True,True,Company_326,EdTech,US,2023-12-08,ads,Pro,13,False,False,47.0,2559.0,1.0,5.0,C-cd7797,2024-08-26,pricing,0.0,False,False,False,NaN,2.0,44.5
S-fef85a,A-7f8241,2024-08-06,2099-01-01,Pro,34,1666,19992,False,False,False,False,annual,True,True,Company_42,EdTech,US,2023-03-14,organic,Pro,34,False,True,69.0,1320.857142857143,3.0,7.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,1.0,36.0
S-36d5c9,A-54ecc2,2023-09-16,2099-01-01,Enterprise,11,2189,26268,False,False,False,False,monthly,True,True,Company_289,Cybersecurity,US,2023-06-11,partner,Enterprise,4,False,False,86.0,3057.375,5.0,8.0,C-4a3e8e,2024-11-23,support,0.0,True,False,False,NaN,5.0,37.4
S-b9ff15,A-95b24a,2024-01-08,2099-01-01,Enterprise,43,8557,102684,False,False,False,False,annual,False,True,Company_117,FinTech,US,2023-06-06,event,Pro,38,False,True,53.0,4650.25,0.0,4.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,5.0,21.2
S-10bd09,A-bbc346,2024-09-03,2099-01-01,Basic,50,950,11400,False,False,False,False,annual,True,True,Company_138,FinTech,US,2024-08-29,partner,Enterprise,19,False,False,42.0,2319.75,0.0,4.0,C-07ec1f,2024-11-03,competitor,15.46,False,False,False,switched to competitor,3.0,45.333333333333336
S-12bfc8,A-31ab9a,2024-12-06,2099-01-01,Enterprise,29,5771,69252,False,False,False,False,monthly,False,True,Company_460,FinTech,DE,2024-03-03,organic,Pro,3,False,False,60.0,6134.8,0.0,5.0,C-50dbff,2024-08-09,budget,0.0,False,False,False,switched to competitor,7.0,43.142857142857146
S-f5c472,A-faa28c,2024-07-09,2099-01-01,Basic,48,912,10944,False,False,False,False,monthly,True,True,Company_91,HealthTech,US,2024-01-30,organic,Enterprise,48,False,False,28.0,954.6666666666666,0.0,3.0,C-5e0998,2024-05-24,features,0.0,False,False,False,missing features,4.0,52.25
S-dbc1ca,A-8adedc,2024-04-24,2099-01-01,Enterprise,14,2786,33432,False,False,False,False,annual,True,True,Company_300,EdTech,US,2024-02-11,event,Basic,4,True,True,34.0,2323.25,5.0,4.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,4.0,49.25
S-dc6dfd,A-e08cd3,2024-09-30,2099-01-01,Pro,67,3283,39396,False,False,False,False,monthly,True,True,Company_475,FinTech,US,2024-09-21,ads,Pro,67,True,False,33.0,2622.25,3.0,4.0,C-cf17ca,2024-12-17,features,0.0,False,False,False,too expensive,8.0,30.375
S-b2d472,A-bcf87c,2024-08-27,2024-12-11,Enterprise,10,1990,23880,False,False,False,True,annual,False,False,Company_288,FinTech,US,2024-06-27,event,Pro,10,False,True,57.0,3485.5,2.0,6.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,2.0,63.0
S-9dfce0,A-e6afc1,2024-08-30,2099-01-01,Pro,2,98,1176,False,False,False,False,annual,True,True,Company_346,DevTools,US,2023-02-24,ads,Pro,1,False,False,58.0,1374.857142857143,0.0,7.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,4.0,36.0
S-9cb6a7,A-7f29a7,2024-12-21,2099-01-01,Basic,41,779,9348,False,False,False,False,monthly,True,True,Company_386,Cybersecurity,UK,2024-09-18,event,Basic,41,True,False,14.0,4186.0,0.0,1.0,C-95f56e,2024-10-09,unknown,23.97,True,False,False,switched to competitor,1.0,24.0
S-dabcd2,A-3ce5b8,2024-09-22,2099-01-01,Pro,28,0,0,True,False,False,False,monthly,True,True,Company_256,FinTech,IN,2023-09-07,ads,Basic,8,False,True,85.0,2997.3,4.0,8.0,C-c89493,2024-09-18,features,261.49,False,False,False,too expensive,10.0,42.5
S-8c3cc8,A-b2225d,2024-10-17,2099-01-01,Basic,47,0,0,True,False,False,False,monthly,True,True,Company_50,FinTech,US,2024-03-08,ads,Basic,47,False,True,35.0,2282.5,3.0,4.0,C-16ddba,2024-05-16,support,0.0,True,False,False,switched to competitor,2.0,42.0
S-2923fc,A-fa3095,2024-07-08,2099-01-01,Enterprise,70,13930,167160,False,False,False,False,annual,True,True,Company_174,FinTech,US,2023-09-03,ads,Basic,70,False,False,87.0,3441.0,5.0,8.0,C-8cce4c,2023-12-23,support,0.0,False,False,False,missing features,5.0,49.2
S-f0a2e5,A-55f257,2024-06-05,2099-01-01,Basic,23,0,0,True,False,False,False,annual,True,True,Company_496,FinTech,US,2023-12-21,organic,Basic,9,False,False,49.0,3371.0,2.0,4.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,6.0,43.166666666666664
S-025bea,A-9affe6,2024-06-25,2099-01-01,Pro,17,833,9996,False,True,False,False,monthly,True,True,Company_401,Cybersecurity,US,2023-03-22,other,Pro,7,False,False,55.0,3295.6666666666665,0.0,6.0,C-47cdaa,2024-01-12,features,83.06,False,False,False,missing features,3.0,58.0
S-0e499f,A-296d7c,2024-08-17,2099-01-01,Pro,16,784,9408,False,False,False,False,annual,False,True,Company_182,DevTools,DE,2023-11-08,other,Enterprise,2,False,False,20.0,4417.5,0.0,2.0,C-5b6094,2024-11-04,budget,0.0,False,False,False,too expensive,5.0,50.4
S-0267b7,A-65a46c,2024-10-17,2024-12-04,Enterprise,13,0,0,True,False,False,True,monthly,True,False,Company_95,HealthTech,US,2023-11-04,event,Pro,1,False,False,49.0,3009.2,2.0,5.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,8.0,45.125
S-b5b9a5,A-812c5b,2024-07-25,2099-01-01,Basic,55,1045,12540,False,False,False,False,monthly,True,True,Company_395,DevTools,CA,2024-02-25,organic,Basic,55,False,True,49.0,2276.3333333333335,3.0,6.0,C-742a59,2024-05-11,support,11.83,False,False,False,missing features,4.0,27.0
S-8e45ba,A-7f8241,2023-12-13,2099-01-01,Basic,34,646,7752,False,False,False,False,annual,False,True,Company_42,EdTech,US,2023-03-14,organic,Pro,34,False,True,78.0,2936.0,4.0,7.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,1.0,36.0
S-37ed34,A-d4ac0e,2024-07-07,2099-01-01,Enterprise,20,3980,47760,False,False,False,False,annual,True,True,Company_364,DevTools,UK,2024-04-20,ads,Basic,18,False,False,30.0,2565.75,4.0,4.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,4.0,21.0
S-65dbf3,A-17939a,2024-12-28,2099-01-01,Basic,36,684,8208,False,False,False,False,monthly,True,True,Company_162,HealthTech,US,2024-12-26,organic,Basic,1,False,False,25.0,3015.0,0.0,3.0,Nan,2099-01-01,Nan,0.0,Nan,Nan,Nan,Nan,7.0,38.0
S-ce5450,A-0a282f,2024-12-25,2024-12-28,Pro,8,0,0,True,False,False,True,annual,True,False,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,80.0,3039.875,5.0,8.0,C-484fba,2024-12-31,support,62.66,False,True,False,too expensive,3.0,43.666666666666664
S-6c969d,A-855a48,2024-05-08,2099-01-01,Basic,14,266,3192,False,False,False,False,monthly,False,True,Company_389,EdTech,US,2023-12-22,partner,Pro,14,True,False,50.0,2381.6666666666665,1.0,5.0,C-2e9b92,2024-08-01,unknown,7.92,False,False,False,too expensive,5.0,39.6
S-522aef,A-f3ff05,2024-08-22,2099-01-01,Pro,4,196,2352,False,False,False,False,annual,True,True,Company_44,FinTech,IN,2024-07-06,other,Enterprise,2,False,False,14.0,1687.0,0.0,1.0,C-cc0058,2024-10-20,unknown,0.0,False,False,False,too expensive,3.0,42.666666666666664
S-82db05,A-417d2f,2024-12-09,2099-01-01,Pro,26,1274,15288,False,False,False,False,monthly,True,True,Company_285,Cybersecurity,IN,2023-07-04,partner,Pro,4,True,False,43.0,2814.75,3.0,4.0,C-e4261a,2024-12-30,budget,0.0,False,False,False,missing features,6.0,43.5
S-162596,A-462d45,2024-02-29,2099-01-01,Pro,18,0,0,True,False,False,False,monthly,True,True,Company_13,Cybersecurity,US,2024-01-15,partner,Enterprise,11,True,False,23.0,1447.0,1.0,3.0,C-a1253e,2024-05-17,competitor,0.0,False,False,False,missing features,4.0,26.75
S-f703bd,A-202b67,2024-09-04,2099-01-01,Pro,11,539,6468,False,False,False,False,monthly,True,True,Company_305,HealthTech,US,2024-03-22,organic,Pro,11,False,False,28.0,2713.0,1.0,4.0,C-f918d7,2024-03-30,features,69.59,False,False,False,NaN,4.0,36.75
S-a1d6ad,A-eafc6e,2024-09-01,2099-01-01,Pro,27,1323,15876,False,False,False,False,monthly,True,True,Company_149,DevTools,US,2023-07-06,partner,Pro,27,False,True,53.0,2756.3333333333335,3.0,6.0,C-f68651,2024-12-12,unknown,0.0,False,False,False,NaN,1.0,64.0
S-8b1fc1,A-309e54,2024-12-26,2099-01-01,Basic,15,0,0,True,False,False,False,monthly,True,True,Company_371,DevTools,US,2024-12-09,other,Pro,15,False,False,46.0,3954.0,0.0,4.0,C-49868d,2024-12-14,support,106.67,False,False,False,missing features,5.0,23.8
S-09cdac,A-82861f,2024-07-31,2024-09-04,Basic,41,779,9348,False,False,False,True,annual,True,False,Company_350,DevTools,UK,2024-04-25,organic,Basic,41,False,False,101.0,2510.8,15.0,8.0,C-155feb,2024-05-17,support,0.0,False,False,False,NaN,5.0,24.4
S-fa5301,A-ba6516,2024-03-14,2099-01-01,Pro,55,0,0,True,False,False,False,monthly,False,True,Company_154,FinTech,US,2023-10-29,ads,Pro,27,False,False,40.0,4256.666666666667,1.0,3.0,C-b411ad,2024-03-17,budget,0.0,False,False,False,NaN,6.0,31.5
S-69937b,A-08e34e,2024-08-08,2099-01-01,Pro,14,686,8232,False,False,False,False,annual,False,True,Company_32,EdTech,US,2024-06-27,event,Basic,14,False,True,29.0,2674.3333333333335,0.0,3.0,C-09b7c7,2024-09-01,features,3.57,False,False,False,missing features,3.0,43.0
S-f2537d,A-e43bf7,2024-01-24,2099-01-01,Pro,44,2156,25872,False,False,False,False,monthly,True,True,Company_215,Cybersecurity,AU,2023-03-24,other,Pro,44,False,False,89.0,3090.714285714286,4.0,7.0,C-2d03fc,2023-06-24,pricing,0.0,False,False,False,missing features,5.0,27.4
